"YEAR","ACT","NSW","NT","QLD","SA","TAS","VIC","WA"
2008,2060,40882,671,28499,11411,6780,49739,15957
2009,1890,41167,1106,33352,14167,5665,53101,14804
2010,2407,51104,998,33013,14139,3735,54728,11705
2011,2284,46714,729,30389,13402,3241,52630,10485
2012,1722,42900,722,28548,11623,2141,61497,17822
2013,1356,33514,1058,27998,12560,2914,52452,14563
2014,1115,34952,517,25068,11886,3256,41448,14377
2015,873,37989,492,23048,12446,3273,33598,16666
2016,1120,38918,535,17213,11153,3191,27925,14926
2017,1299,41020,546,15043,11252,2738,29293,16718
2018,1399,37653,861,12828,8471,2614,32458,17697
2019,1098,25463,760,11580,7567,2355,36694,11850
2020,812,151725,380,4823,6325,1966,21231,7889
2021,544,174082,309,18547,4799,2328,15562,4909
2022,374,207697,302,121639,4583,1973,19428,6346
2023,288,216042,205,80292,5769,2428,49546,3592
2024,27125,161997,244,75334,4605,2815,55075,3731
