"YEAR","JURISDICTION","FINES"
2008,"ACT",2060
2008,"NSW",40882
2008,"NT",671
2008,"QLD",28499
2008,"SA",11411
2008,"TAS",6780
2008,"VIC",49739
2008,"WA",15957
2009,"ACT",1890
2009,"NSW",41167
2009,"NT",1106
2009,"QLD",33352
2009,"SA",14167
2009,"TAS",5665
2009,"VIC",53101
2009,"WA",14804
2010,"ACT",2407
2010,"NSW",51104
2010,"NT",998
2010,"QLD",33013
2010,"SA",14139
2010,"TAS",3735
2010,"VIC",54728
2010,"WA",11705
2011,"ACT",2284
2011,"NSW",46714
2011,"NT",729
2011,"QLD",30389
2011,"SA",13402
2011,"TAS",3241
2011,"VIC",52630
2011,"WA",10485
2012,"ACT",1722
2012,"NSW",42900
2012,"NT",722
2012,"QLD",28548
2012,"SA",11623
2012,"TAS",2141
2012,"VIC",61497
2012,"WA",17822
2013,"ACT",1356
2013,"NSW",33514
2013,"NT",1058
2013,"QLD",27998
2013,"SA",12560
2013,"TAS",2914
2013,"VIC",52452
2013,"WA",14563
2014,"ACT",1115
2014,"NSW",34952
2014,"NT",517
2014,"QLD",25068
2014,"SA",11886
2014,"TAS",3256
2014,"VIC",41448
2014,"WA",14377
2015,"ACT",873
2015,"NSW",37989
2015,"NT",492
2015,"QLD",23048
2015,"SA",12446
2015,"TAS",3273
2015,"VIC",33598
2015,"WA",16666
2016,"ACT",1120
2016,"NSW",38918
2016,"NT",535
2016,"QLD",17213
2016,"SA",11153
2016,"TAS",3191
2016,"VIC",27925
2016,"WA",14926
2017,"ACT",1299
2017,"NSW",41020
2017,"NT",546
2017,"QLD",15043
2017,"SA",11252
2017,"TAS",2738
2017,"VIC",29293
2017,"WA",16718
2018,"ACT",1399
2018,"NSW",37653
2018,"NT",861
2018,"QLD",12828
2018,"SA",8471
2018,"TAS",2614
2018,"VIC",32458
2018,"WA",17697
2019,"ACT",1098
2019,"NSW",25463
2019,"NT",760
2019,"QLD",11580
2019,"SA",7567
2019,"TAS",2355
2019,"VIC",36694
2019,"WA",11850
2020,"ACT",812
2020,"NSW",151725
2020,"NT",380
2020,"QLD",4823
2020,"SA",6325
2020,"TAS",1966
2020,"VIC",21231
2020,"WA",7889
2021,"ACT",544
2021,"NSW",174082
2021,"NT",309
2021,"QLD",18547
2021,"SA",4799
2021,"TAS",2328
2021,"VIC",15562
2021,"WA",4909
2022,"ACT",374
2022,"NSW",207697
2022,"NT",302
2022,"QLD",121639
2022,"SA",4583
2022,"TAS",1973
2022,"VIC",19428
2022,"WA",6346
2023,"ACT",288
2023,"NSW",216042
2023,"NT",205
2023,"QLD",80292
2023,"SA",5769
2023,"TAS",2428
2023,"VIC",49546
2023,"WA",3592
2024,"ACT",27125
2024,"NSW",161997
2024,"NT",244
2024,"QLD",75334
2024,"SA",4605
2024,"TAS",2815
2024,"VIC",55075
2024,"WA",3731
